Id,MSSubClass,MSZoning,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,GrLivArea,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,GarageType,GarageYrBlt,GarageFinish,GarageCars,SalePrice
1,60,RL,8450,CollgCr,7,5,2003,1710,856,854,1710,2,1,Attchd,2003.0,RFn,2,208500
2,20,RL,9600,Veenker,6,8,1976,1262,1262,0,1262,2,0,Attchd,1976.0,RFn,2,181500
3,60,RL,11250,CollgCr,7,5,2001,1786,920,866,1786,2,1,Attchd,2001.0,RFn,2,223500
4,70,RL,9550,Crawfor,7,5,1915,1717,961,756,1717,1,0,Detchd,1998.0,Unf,3,140000
5,60,RL,14260,NoRidge,8,5,2000,2198,1145,1053,2198,2,1,Attchd,2000.0,RFn,3,250000
6,50,RL,14115,Mitchel,5,5,1993,1362,796,566,1362,1,1,Attchd,1993.0,Unf,2,143000
7,20,RL,10084,Somerst,8,5,2004,1694,1694,0,1694,2,0,Attchd,2004.0,RFn,2,307000
8,60,RL,10382,NWAmes,7,6,1973,2090,1107,983,2090,2,1,Attchd,1973.0,RFn,2,200000
9,50,RM,6120,OldTown,7,5,1931,1774,1022,752,1774,2,0,Detchd,1931.0,Unf,2,129900
10,190,RL,7420,BrkSide,5,6,1939,1077,1077,0,1077,1,0,Attchd,1939.0,RFn,1,118000
11,20,RL,11200,Sawyer,5,5,1965,1040,1040,0,1040,1,0,Detchd,1965.0,Unf,1,129500
12,60,RL,11924,NridgHt,9,5,2005,2324,1182,1142,2324,3,0,BuiltIn,2005.0,Fin,3,345000
13,20,RL,12968,Sawyer,5,6,1962,912,912,0,912,1,0,Detchd,1962.0,Unf,1,144000
14,20,RL,10652,CollgCr,7,5,2006,1494,1494,0,1494,2,0,Attchd,2006.0,RFn,3,279500
15,20,RL,10920,NAmes,6,5,1960,1253,1253,0,1253,1,1,Attchd,1960.0,RFn,1,157000
16,45,RM,6120,BrkSide,7,8,1929,854,854,0,854,1,0,Detchd,1991.0,Unf,2,132000
17,20,RL,11241,NAmes,6,7,1970,1004,1004,0,1004,1,0,Attchd,1970.0,Fin,2,149000
18,90,RL,10791,Sawyer,4,5,1967,1296,1296,0,1296,2,0,CarPort,1967.0,Unf,2,90000
19,20,RL,13695,SawyerW,5,5,2004,1114,1114,0,1114,1,1,Detchd,2004.0,Unf,2,159000
20,20,RL,7560,NAmes,5,6,1958,1339,1339,0,1339,1,0,Attchd,1958.0,Unf,1,139000
21,60,RL,14215,NridgHt,8,5,2005,2376,1158,1218,2376,3,1,BuiltIn,2005.0,RFn,3,325300
22,45,RM,7449,IDOTRR,7,7,1930,1108,1108,0,1108,1,0,Attchd,1930.0,Unf,1,139400
23,20,RL,9742,CollgCr,8,5,2002,1795,1795,0,1795,2,0,Attchd,2002.0,RFn,2,230000
24,120,RM,4224,MeadowV,5,7,1976,1060,1060,0,1060,1,0,Attchd,1976.0,Unf,2,129900
25,20,RL,8246,Sawyer,5,8,1968,1060,1060,0,1060,1,0,Attchd,1968.0,Unf,1,154000
26,20,RL,14230,NridgHt,8,5,2007,1600,1600,0,1600,2,0,Attchd,2007.0,RFn,3,256300
27,20,RL,7200,NAmes,5,7,1951,900,900,0,900,1,0,Detchd,2005.0,Unf,2,134800
28,20,RL,11478,NridgHt,8,5,2007,1704,1704,0,1704,2,0,Attchd,2008.0,RFn,3,306000
29,20,RL,16321,NAmes,5,6,1957,1600,1600,0,1600,1,0,Attchd,1957.0,RFn,1,207500
30,30,RM,6324,BrkSide,4,6,1927,520,520,0,520,1,0,Detchd,1920.0,Unf,1,68500
